Title,sku,mrp
Puma Royal DP Men Sandals,067-11,1999
"Adidas Tyrant Running Shoes
",072-10K,3999
"Adidas Duramo 6 K Running Shoes
",084-11K,4299
"adidas Slippers
",167-9,1099
"Puma Royal DP Men Sandals

",188-5,1999
Puma Mens  Drongos DP Mid Ankle Sneakers,189-7,2999
Puma Wave II DP Flip Flops,234-7,799
Puma Wave II DP Flip Flops,234-8,799
Puma Wave II DP Flip Flops,234-9,799
Puma Wave II DP Flip Flops,234-10,799
Puma Wave II DP Flip Flops,234-11,799
"Gas Tide Boots
",293-6,5299
"Provogue Boots
",307-9,2399
"Reebok Hexaffect Run Running Shoes
",312-13.5K,4999
"Lotto Pacer Running Shoes
",350-7,2499
Dummy 123,399-7,1999
"Puma evoPOWER 4.2 FG Jr Football Shoes
",407-10K,3999
"Clarks Scent Flower Women Wedges 
",416-7,4499
" Reebok Hexaffect Run Sports Shoes
",417-11.5K,4999
Puma Faas slide Ind. Men Sandals ,423-6,2499
Reebok Reebok Zquick Dash Running Shoes,441-4,8999
adidas Cc Fresh 2 K Running Shoes,546-11K,4999
Puma Sports Shoes,587-9,8999
Puma Jiff 5 Ind. Men Sandals ,589-4,2499
Clarks Clifton Bridge,621-8,4999
Reebok Ksee You Mid Lite Lp Sneakers,63O-13.5K,3599
Spiderman SM1DBS1458 Casual Shoes,65B-5K,499
Adidas Sneakers,664-7,6999
Reebok School Sports Lp Running Shoes,67B-8.5K,2799
Puma Men 917 Lo DP Low Ankle Sneakers,68V-7,2599
"Kenneth Cole Off The Books Sneakers
",68W-10,7499
Kenneth Cole Reaction Sneakers,69F-10,8990
Puma Drongos DP Mid Ankle Sneakers,6A7-6,3499
Puma Drongos DP Mid Ankle Sneakers,6A7-7,3499
Puma Drongos DP Mid Ankle Sneakers,6A7-8,3499
Puma Drongos DP Mid Ankle Sneakers,6A7-9,3499
"Adidas Hyperfast K Running Shoes
",6AI-10K,3599
Van Heusen Lace Up Shoes,6AW-8,6999
"Puma Myndy 2 Blur Sneaker
",6AY-8,3499
"Reebok City Flex Lp Girls, Boys Sports Sandals",6BF-13.5K,2299
Reebok Cl Exoplimsole Mid Sneakers,6BY-7,5999
Puma Axis v3 Ind. Running Shoes,6C1-6,3999
United Colors of Benetton Loafers,6HB-10,1699
Puma Drongos DP High ankle sneakers,6ID-10,2999
Puma Wave II DP Flip Flops,6M7-7,799
Puma Wave II DP Flip Flops,6M7-8,799
Puma Wave II DP Flip Flops,6M7-10,799
Dora DO1DGC1159 Canvas Shoes,6MK-12K,799
Dora DO1DGC1159 Canvas Shoes,6MK-8K,799
Steve Madden Apaullo Loafers,6N1-9.5,7999
Van Heusen Corporate Casuals,6OO-9,6999
Reebok Premium Vulc Slip On Sneakers,6QC-12.5K,3999
Puma Argus DP Running Shoes,6R3-7,3999
"Vans Mid Slip Canvas Boat Shoes
",6RA-11,6999
Puma Yacht Cvs Sneakers,6SB-8,2999
Lonsdale London Running Shoes,6SS-7,5999
Hush Puppies Lumar Oxford Sneakers,6TB-4,4999
Puma Woody DP Men Sandals,6VZ-6,1799
Puma Faas 500 TR v2 peacoat-peacoat-black Running Shoes,6YR-7,8499
"Madden Girl Cretee Women Flats
",6Z8-3,5999
"Reebok ATV19 TURBO Running Shoes
",721-10K,4999
"Reebok ATV19 TURBO Running Shoes
",721-11K,4999
Puma Men Tazon II DP Sneakers,729-7,4499
Puma Elego DP Men Sandals,735-6,2299
Reebok True Studio Slipper 2.0 T Yoga Shoes,73Y-5.5,3999
United Colors of Benetton Sneakers,74M-6.5,2499
Adidas ADISPREE M Running Shoes,75R-8,3299
Adidas ADISPREE M Running Shoes,75R-9,3299
Adidas ADISPREE M Running Shoes,75R-10,3299
Puma Rebound Mid Lite DP High Ankle Sneakers,75X-8,3299
Puma Limnos CAT 3 DP Canvas Sneakers,7BM-3,2499
United Colors of Benetton Basic III Flip Flops,7BR-7,499
United Colors of Benetton Basic III Flip Flops,7BR-9,499
"Diesel Draags94 Sneakers
",7CR-9,8990
United Colors of Benetton Men Boots,7CZ-8,6999
VANS Classic Slip-on Casual Shoes,7DF-6,2899
VANS Classic Slip-on Casual Shoes,7DF-11,2899
"Adidas 3 SERIES 2015 NBA K Basketball Shoes
",7F4-11K,5299
Puma Men Wirko XC 3 DP Sneakers,7G5-7,2299
VANS Authentic Sneakers,7LX-3,2999
"Kenneth Cole Low Rider Ld Sneakers
",7NQ-10,6990
"Kenneth Cole Name Game Boat Shoes
",7NU-11.5,10990
"Diesel Tatradium Basket T Boots
",7NV-7,11500
Puma Rebound Mid Lite DP High Ankle Sneakers,7PK-6,3299
REEBOK ONE RUNNING WAISTBAG,7PZ-R,1999
Puma Colaba DP Rubber Flip-Flops,7RJ-10,699
"Xbox One Wireless Controller
",7V3-U,3900
"Samsung Galaxy Tab 3 Lite (7-Inch, White)
",7VO-U,16990
TerraVulc Men Sandals,7W2-9,495
"Globalite Mens Casual Shoes 
",7W5-7,999
Carlton London Loafers,7WJ-6,3995
Provogue Monk Strap,7ZE-7,2199
Asus RT-N12E 300Mbps Wireless Broadband Router,7ZK-N,6000
United Colors of Benetton Men Beige Genuine Leather Belt,80W-S,1499
Allen Solly Casual Single Belt,81R-S,899
"United Colors of Benetton Women Black Synthetic Belt
",82A-S,1299
"United Colors of Benetton Women Brown Synthetic Belt
",82D-S,1299
"United Colors of Benetton Women Brown Synthetic Belt
",82D-M,1299
"Tommy Hilfiger Men Brown, Green Belt",82K-M,3250
Butterflies Womens Handbag,82R-R,3390
"United Colors of Benetton Men Canvas Belt
",83Y-S,1499
United Colors of Benetton Men Blue Skinny Fit Jeans,84A-30,3499
United Colors of Benetton Men Blue Skinny Fit Jeans,84A-32,3499
United Colors of Benetton Skinny Fit Mens Blue Jeans,84G-34,3499
United Colors of Benetton Women Genuine Leather Belt,84J-S,999
United Colors of Benetton Solid Mens Blue Denim Shorts,84N-30,2499
United Colors of Benetton Solid Mens Blue Denim Shorts,84N-34,2499
